chunkId,section,itemCode,text
PMO-16P-005,Section 16,16p,"Phosphatase testing requirements: the phosphatase test is used as a verification measure to confirm that milk and milk products have been properly pasteurized. Alkaline phosphatase is a naturally occurring enzyme in raw milk that is inactivated at time-temperature combinations slightly above those required for pasteurization. A properly pasteurized product will show a negative phosphatase test result. The test shall be performed in accordance with Standard Methods for the Examination of Dairy Products. A positive phosphatase result indicates either inadequate pasteurization or post-pasteurization contamination with raw milk, and the affected product shall not be offered for sale. The regulatory authority shall investigate the cause of any positive phosphatase finding."
PMO-16P-006,Section 16,16p,"Alternative pasteurization methods: In addition to HTST pasteurization at 161 degrees Fahrenheit for 15 seconds, the Pasteurized Milk Ordinance recognizes the following equivalent time-temperature combinations: batch (vat) pasteurization at 145 degrees Fahrenheit (62.8 degrees Celsius) for 30 minutes; Higher Heat Shorter Time (HHST) at 191 degrees Fahrenheit (88.3 degrees Celsius) for 1 second; and Ultra-Pasteurization (UP) at 280 degrees Fahrenheit (137.8 degrees Celsius) for 2 seconds. Each of these combinations provides equivalent pathogen destruction. The equipment and process requirements vary for each method, and operators must comply with the specific requirements set forth for the method employed."
PMO-16P-007,Section 16,16p,"Cooling requirements after pasteurization: Grade ""A"" pasteurized milk and milk products shall be cooled immediately after pasteurization to a temperature of 45 degrees Fahrenheit (7.2 degrees Celsius) or less. The cooling process shall begin immediately after the product leaves the holding tube and shall be accomplished as rapidly as practicable. Milk and milk products shall be maintained at or below 45 degrees Fahrenheit during storage and transport. The temperature of the cooled product shall be monitored continuously or at regular intervals to ensure compliance. Failure to maintain proper cooling temperatures may result in bacterial growth that compromises the safety and quality of the pasteurized product."
PMO-16P-008,Section 16,16p,"Temperature recording and documentation requirements: all HTST and HHST pasteurization systems shall be equipped with recording devices that continuously record the temperature of the milk at the holding tube outlet throughout each processing run. Recording charts or electronic records shall clearly indicate the date, plant identification, product identification, and the signature or initials of the operator. These records shall indicate the time at which the processing run began and ended, and any periods during which the temperature fell below the required minimum. All pasteurization records shall be retained for a minimum of one year and shall be available for inspection by the regulatory authority upon request."
PMO-16P-009,Section 16,16p,"Operator requirements for HTST pasteurization: pasteurization equipment shall be operated only by persons who have a thorough understanding of the principles and procedures of pasteurization. Operators shall be trained in the proper operation of all components of the pasteurization system, including the timing pump, holding tube, flow diversion device, indicating and recording thermometers, and associated controls. The operator shall verify proper operation of the flow diversion device before each processing run. The operator shall monitor pasteurization temperatures continuously during processing and shall take immediate corrective action if the temperature drops below the required minimum."
PMO-COOL-001,Section 7,7p,"Temperature requirements during storage and transport of Grade ""A"" pasteurized milk and milk products: the product shall be maintained at a temperature of 45 degrees Fahrenheit (7.2 degrees Celsius) or less at all times. Temperature monitoring shall be performed using calibrated thermometers or electronic temperature recording devices. Storage facilities shall be equipped with thermometers that are easily readable and accessible. Delivery vehicles shall be insulated and equipped with mechanical refrigeration or other approved cooling systems capable of maintaining the required temperature. The temperature of the product shall be checked at the time of delivery, and any product found to be above 45 degrees Fahrenheit may be rejected by the receiving establishment."
PMO-COOL-002,Section 7,7p,"Cooler and refrigerated storage requirements: all coolers and refrigerated storage areas used for Grade ""A"" pasteurized milk and milk products shall maintain an ambient air temperature sufficient to keep the product at or below 45 degrees Fahrenheit (7.2 degrees Celsius). Coolers shall be equipped with accurate indicating thermometers visible from outside the unit. Temperature logs shall be maintained and shall record the cooler temperature at least twice daily during operating hours. When cooler temperatures are found to exceed the maximum allowable temperature, the affected product shall be evaluated by the regulatory authority to determine if it remains safe for distribution. Corrective action must be documented and implemented before resuming use of the cooler."
PMO-INSP-001,General,,"Regulatory inspection procedures: inspections of Grade ""A"" dairy farms and milk plants shall be conducted by authorized representatives of the regulatory authority. Inspections shall be unannounced and shall occur at a frequency sufficient to ensure ongoing compliance with the requirements of this ordinance. At minimum, each permitted establishment shall be inspected at least once every six months. The inspector shall evaluate compliance with all applicable items listed in the inspection form, including equipment condition, sanitation, pasteurization process controls, temperature maintenance, laboratory results, and record-keeping. The results of each inspection shall be documented on the appropriate inspection form and a copy provided to the operator."
PMO-INSP-002,General,,"Compliance determination and enforcement: compliance with the Pasteurized Milk Ordinance is evaluated based on the inspection findings and laboratory results. When an inspection reveals a violation of any critical item, the inspector shall issue a written notice to the operator identifying the violation and requiring corrective action within a specified timeframe. Repeated violations or failure to take corrective action may result in suspension or revocation of the operating permit. For Grade ""A"" milk plants, the IMS (Interstate Milk Shippers) listing may also be affected by unresolved violations. The regulatory authority shall maintain records of all inspections, violations, and enforcement actions for each permitted establishment."
PMO-INSP-003,General,,"NCIMS (National Conference on Interstate Milk Shipments) compliance framework: the NCIMS establishes a cooperative federal-state-industry program for the certification of interstate milk shippers. Compliance with the PMO is evaluated through a system of regulatory oversight that includes routine inspections, sample collection and analysis, and equipment testing. The NCIMS rating process involves evaluation of the state regulatory program by FDA to ensure uniform enforcement of PMO standards. Plants listed on the IMS List have been inspected and found to comply with the requirements of the PMO within the preceding two years. The IMS listing is essential for interstate commerce in milk and milk products."
PMO-COMP-001,General,,"Overall disposition determination: the compliance status of a dairy plant or operation is assessed based on the totality of inspection findings and laboratory results. A facility is considered COMPLIANT when all critical control points meet PMO standards, including pasteurization time-temperature parameters, bacteriological standards (SPC and coliform), somatic cell count limits, cooling and storage temperatures, and phosphatase test results. A facility is classified as NON-COMPLIANT when one or more critical violations are identified that pose a risk to public health. A status of REQUIRES_REVIEW is assigned when borderline results or minor deviations are observed that warrant further evaluation or follow-up sampling before a final determination can be made."
PMO-COMP-002,General,,"Critical control points for compliance evaluation: the following items are considered critical for the determination of compliance with Grade ""A"" pasteurized milk standards: (1) Pasteurization temperature - minimum 161 degrees Fahrenheit for HTST; (2) Pasteurization holding time - minimum 15 seconds for HTST; (3) Standard Plate Count - not to exceed 20,000 CFU/mL; (4) Coliform count - not to exceed 10 per mL; (5) Somatic Cell Count - not to exceed 750,000 per mL for raw milk supplies; (6) Phosphatase test - must be negative; (7) Cooling and storage temperature - must not exceed 45 degrees Fahrenheit. Failure of any single critical control point constitutes a violation requiring regulatory action. Multiple concurrent violations indicate systemic process control failures and warrant immediate corrective measures."
PMO-REC-001,General,,"Record-keeping requirements: dairy plants operating under the Pasteurized Milk Ordinance shall maintain complete and accurate records of all pasteurization operations, laboratory test results, equipment calibration, cleaning and sanitation procedures, and product distribution. Pasteurization records shall include continuous temperature recordings, processing times, product identification, and operator identification. Laboratory records shall include all test results for SPC, coliform, SCC, drug residue, and phosphatase testing. Records shall be organized and maintained in a manner that allows the regulatory authority to readily review the compliance history of the facility. All records shall be retained for a minimum of one year unless a longer retention period is required by state or local regulation."
PMO-7P-006,Section 7,7p,"Bacterial standards for raw milk intended for pasteurization: the SPC of commingled raw milk as received at the pasteurization plant shall not exceed 300,000 per mL. While the primary standard for pasteurized products is 20,000 CFU/mL, the quality of the incoming raw milk supply directly affects the quality of the finished pasteurized product. High bacterial counts in raw milk may indicate poor production practices, inadequate cooling at the farm, or extended storage times before processing. The pasteurization plant shall monitor incoming raw milk quality and work with producers to address persistent quality issues. Raw milk that exceeds 300,000 per mL SPC should be evaluated to determine if it is suitable for processing."
PMO-16P-010,Section 16,16p,"Seal and safety device requirements: all HTST pasteurization system components that could affect the safety of the pasteurization process shall be properly sealed by the regulatory authority. Sealed components include the timing pump, holding tube connections, flow diversion device, thermometer fittings, and any bypass valves. Seals shall be applied using numbered seal wire or approved tamper-evident devices. The seal numbers shall be recorded and verified at each inspection. Any broken or missing seal shall be reported immediately to the regulatory authority, and the equipment shall not be used until re-sealed by an authorized inspector. Unauthorized tampering with sealed components constitutes a violation of this ordinance."
PMO-16P-011,Section 16,16p,"CIP (Clean-in-Place) and sanitation requirements for pasteurization equipment: all product contact surfaces shall be cleaned and sanitized before each use. CIP systems shall be designed to provide adequate cleaning solution velocity and contact time to remove all milk residues and biofilm. The cleaning process shall include a pre-rinse with warm water, a wash cycle with an approved alkaline detergent, an acid rinse to remove mineral deposits, and a final sanitizing rinse. The effectiveness of CIP cleaning shall be verified through visual inspection, ATP testing, or microbiological swabbing at regular intervals. All cleaning and sanitation activities shall be documented and records maintained for review by the regulatory authority."
